NCT Number,Study Title,Study Status,Brief Summary,Conditions,Interventions,Sponsor,Phases,Start Date,Completion Date,Locations
NCT03195933,"Depression, Adversity, and Stress Hormones (DASH) Study",COMPLETED,"The stress-related hormone cortisol has been studied in depression for decades. However, relatively little is known about the role of cortisol in psychological features of depression. Basic research shows that cortisol modulates brain processes that are highly relevant to depression (especially the neural substrates of negative biases in learning and memory formation). However, very few studies have directly examined the effects of cortisol on neural circuitry of learning in depressed humans. In addition, the effects of cortisol on the neural substrates of learning differ for males and females. The toll of depression is especially high in women, who are roughly twice as likely as men to suffer from depression. Thus, the primary goal of this project is to investigate the effects of cortisol on the neural circuitry of learning in depressed women.

A secondary goal is to investigate whether early life adversity moderates cortisol's effects on the neural circuitry of learning. Animal data suggests that early life adversity causes life-long biases toward learning in threatening conditions associated with elevated cortisol. In addition, new data from humans suggests that alterations in cortisol traditionally ascribed to depression may stem in part from early adversity rather than depression per se. Thus, this study will examine effects of cortisol on the neural circuitry of learning in depressed and healthy women with and without history of early life adversity.

The study will use pharmacological manipulation of cortisol levels (compared to placebo) during measurement of brain activity at rest and during memory encoding of emotional and neutral stimuli. The study will also measure whether cortisol alters the negative biases in emotional memory often seen in depression. In doing so, the study will examine the role of cortisol in neural networks associated with emotional learning that are often implicated in depression.

Medications that target cortisol receptors in the brain may be beneficial in the treatment of depression. However, this knowledge has yet to inform clinical practice, and mechanisms of action of these medications are not well understood. This project is significant because it provides the prerequisite knowledge (and develops a paradigm) that can be used in the future in the development of more effective targeted intervention strategies.",Depression,OTHER: Cortisol|OTHER: Placebo,"University of Wisconsin, Madison",NA,2013-07-31,2016-05-19,
NCT07115381,A Study on the Intervention Effect of Therapeutic Horticulture Based on the Healing System on Non-suicidal Self-injury in Adolescent Patients With Depression,NOT_YET_RECRUITING,"Non-suicidal self-harm is a serious issue. Adolescents with depression are among the high-risk groups for non-suicidal self-harm behavior. Therapeutic gardening uses plant cultivation and corresponding gardening activities as the medium of action, allowing patients to obtain therapeutic benefits by participating in gardening activities such as planting, maintaining, and harvesting plants. Therefore, this study will apply therapeutic gardening based on the healing system to adolescents with depression who have non-suicidal self-harm behavior, in order to improve their non-suicidal self-harm behavior, negative emotions, emotional expression disorders, self-efficacy, sleep quality, and loneliness.",Depression,BEHAVIORAL: Therapeutic Horticulture|OTHER: Routine treatment and nursing,Lei Huang,NA,2026-02,2026-12,"The Affiliated Brain Hospital, Guangzhou Medical University, Guangzhou, China"
NCT00073697,Treatment of Depression in Adults,COMPLETED,This study will determine how certain features of depressed individuals affect their responses to depression treatment.,Depression,DRUG: Escitalopram|BEHAVIORAL: Interpersonal Psychotherapy|OTHER: Escitalopram plus IPT,University of Pittsburgh,PHASE4,2003-05,2007-10,"Western Psychiatric Institute and Clinic - Depression Prevention Program, Pittsburgh, Pennsylvania, 15213, United States|The University of Pisa, Pisa, Italy"
NCT05681767,Motivational Multicomponent Lifestyle Interventions as a Supportive Treatment for Depression in Primary Health Care,RECRUITING,The investigators aim to examine whether a motivational multicomponent lifestyle intervention as a supportive treatment for depression has a beneficial effect on recovery from depression in a primary health care setting.,Depression,BEHAVIORAL: Motivational multicomponent lifestyle intervention + Treatment as usual|OTHER: Treatment as usual,Kuopio University Hospital,NA,2022-11-21,2026-12-31,"Kuopio Health Center, Kuopio, Finland"
NCT05090397,MRI-Guided High-Definition Transcranial Direct Current Stimulation (tDCS) for Depression,COMPLETED,"The purpose of this research is to understand how a neurostimulation technique, transcranial electrical stimulation (tES), affects brain function in adults with major depression measured with functional magnetic resonance imaging (fMRI). This study targets a specific kind of tES called transcranial direct current stimulation (tDCS), where a mild, constant current is passed between electrodes placed on the scalp.",Depression,DEVICE: Transcranial Direct Current Stimulation|DEVICE: Sham Transcranial Direct Current Stimulation,Northwestern University,NA,2023-07-01,2025-03-31,"CTI Northwestern, Chicago, Illinois, 60611, United States"
NCT03079895,Thrive Care: Internet CBT for Depression,COMPLETED,"This project will study the effectiveness of computerized cognitive behavioral therapy (CBT) in reducing depression symptoms. The design is a two-arm randomized controlled trial comparing (i) control arm, which is treatment as usual with (ii) treatment arm, which is treatment as usual plus computerized CBT. The primary outcome measure is change in depression symptom severity. The name of the computerized CBT program to be used in the study is Thrive.",Depression,BEHAVIORAL: Thrive,Kaiser Permanente,NA,2017-04-13,2017-12-13,"Kaiser Fontana Medical Center, Fontana, California, 92335, United States"
NCT04618562,Revival Active Program for Adolescents With Depression,COMPLETED,"Active play and sports has shown to be effective intervention in managing depression. Extending the support with Mind body therapy, Revival Active Program was designed as an early intervention for adolescents.

To measure the efficacy and feasibility of the community based revival active play intervention for adolescent depression, present pilot study was undertaken.",Depression,OTHER: Revival Active Program,Revival Active,NA,2020-03-03,2020-09-18,"Gyansanjeevani, Jaipur, Rajasthan, India"
NCT04897685,Nature-based Treatment Group for Depression,COMPLETED,"This multi-centre research investigates the effects of nature-based treatment group on participants diagnosed with depression. In total, 147 persons participated in the study in various locations in Finland. All participants received treatment as usual (TAU). They were randomised into nature-based group + TAU (n = 70) or TAU-only (n = 77). The participants in the nature-based group + TAU were offered 12 sessions once a week in addition to standard care. The measurement points included pre-treatment measurement at the baseline and post-treatment measurement at the end of the intervention, which was 12 weeks after the pre-treatment measurement. The follow-up measurement was 3 months after the post-treatment measurement. The effects of the intervention were assessed with a clinical measure of depression (BDI-I) and with indicators of psychological distress (CORE-10), subjective well-being (SWEMWBS), work/study ability (WAI) and nature experiences (ROS, KOLU). The participants in the treatment group (nature-based group +TAU) were compared to the participants in the control group who received TAU-only.",Depression,BEHAVIORAL: Flow with Nature,JAMK University Of Applied Sciences,NA,2019-01-01,2021-03-31,"University of Jyväskylä, Jyväskylä, 40014, Finland|Institute of Rehabilitation, JAMK University of Applied Sciences, Jyväskylä, 40100, Finland|Tampere University, Tampere, 33100, Finland"
NCT04164537,Latina Adolescent Depression Treatment Study,COMPLETED,"Despite experiencing higher rates of depressive symptoms and similar rates of Major Depressive Disorder (MDD), Latina (female) adolescents in the U.S. are significantly less likely than their non-Latina White peers to receive treatment for MDD. The purpose of this study is to identify facilitators of and barriers to depression treatment engagement among Latina adolescents across patient-, family-, and healthcare provider-levels from the perspectives of these individuals. Latina adolescent-parent dyads and healthcare providers will be recruited from community and healthcare settings. Separate individual semi-structured interviews will be conducted with Latina adolescents (n=12) and their parents (n=12). Two focus groups will be conducted with primary care providers (n=6) and mental health providers (n=6) who frequently care for Latina youth. Qualitative content analysis will be used to analyze the transcripts to determine common themes in facilitators and barriers across stakeholder groups.",Depression,,Duke University,,2019-07-01,2021-06-30,"Lincoln Community Health Center, Durham, North Carolina, 27707, United States"
NCT00260182,Genetics of Recurrent Early Onset Major Depression,COMPLETED,This study will identify specific genes that may cause a predisposition to depression in some families.,Depression,,Stanford University,,2005-10,2009-06,"Stanford University, Palo Alto, California, 94304, United States|Howard University, Washington D.C., District of Columbia, 20060, United States|Rush University Medical Center, Chicago, Illinois, 60612, United States|University of Iowa, Iowa City, Iowa, 52242, United States|Johns Hopkins University, Baltimore, Maryland, 21287, United States|Columbia University/New York State Psychiatric Institute, New York, New York, 10032, United States"
NCT01464619,Enhancing Parenting for Depressed Caregivers,COMPLETED,"The main objective of this study is to adapt a parenting intervention for caregivers of young children who report depressive symptoms in primary care pediatric practices. In addition, the study will explore the acceptability and feasibility of a validated parenting program.",Depression,OTHER: The Incredible Years Parenting Intervention|OTHER: Delayed Intervention,Children's Hospital of Philadelphia,NA,2011-07,2013-11,"The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States"
NCT05990075,An eHealth Intervention to Increase Depression Treatment Initiation and Adherence Among Veterans Referred for Mental Health Services,ACTIVE_NOT_RECRUITING,"Depression is the most prevalent mental health condition among VHA patients and is strongly associated with poor functioning, negative health outcomes, and suicide. Despite effective and available treatments, engagement in care is poor. This study will analyze VHA electronic medical record data, to identify patient characteristics associated with poor treatment engagement. The study will then develop and formatively evaluate an eHealth intervention to improve and sustain engagement in mental health care through self-monitoring. This is an important step in engaging Veterans who, in part, based on their military training, may have difficulty identifying or accepting depressed affect and the benefits of treatment. The information obtained will inform clinical strategies and operations policy to improve quality, coordination, and efficiency of mental health services.",Depression,BEHAVIORAL: self-monitoring,VA Office of Research and Development,NA,2023-09-13,2026-05-31,"James A. Haley Veterans' Hospital, Tampa, FL, Tampa, Florida, 33612, United States"
NCT06017700,School-based IPT-G for Adolescents With Depression in Nepal: a Pilot Realist C-RCT,UNKNOWN,"Globally a third of adolescents are at risk of depression with negative consequences for their health and development. Most of the world's adolescents live in low- and middle-income countries (LMICs) where access to treatment for depression is limited. Psychological interventions are treatments that seek to change behaviours, cognitions and feelings to improve mental health but few have been tested with adolescents in LMICs. This study will use a cluster randomised controlled trial approach to test one such intervention, interpersonal therapy (IPT) for adolescents in Chitwan district, Nepal. The current study will compare whether adolescents (aged 13-18) with depression who receive group interpersonal therapy improve more than adolescents who receive information about local mental health services but no active intervention (enhanced usual care). Adolescents' depressive symptoms will be assessed eight to ten weeks after IPT has finished using the Patient Health Questionnaire modified for adolescents (PHQ-A). We will also aim to assess the feasibility and acceptability of delivering group IPT in secondary schools in Chitwan, Nepal. In addition, in this trial we aim to refine our hypotheses around why IPT works, how, and for whom, and pilot the tools which will be used to answer these questions later in the full trial.",Depression,BEHAVIORAL: Interpersonal Psychotherapy Group|BEHAVIORAL: Enhanced Usual Care,Transcultural Psychosocial Organization Nepal,NA,2023-09,2024-06,
NCT04013165,Village-based Intervention for Late-life Depression,COMPLETED,"Investigators aimed to examine the feasibility and effectiveness of a village-based multilevel intervention for late-life depression. Two small rural villages in rural South Korea were selected as the intervention group and active control. All older adults living in the two villages were included in the intervention program or received standard CMHS care, and the effectiveness of the program was examined using representative samples from both groups.",Depression,BEHAVIORAL: Active control|BEHAVIORAL: Village-based intervention,Seoul National University Hospital,NA,2017-06-01,2018-03-31,"Seoul National University College of Medicine, Seoul, 110-744, South Korea"
NCT05142384,ICBT (Internet Based Cognitive Behavioral Therapy) for Maternal Depression: Community Implementation in Head Start,RECRUITING,"Low income women of childbearing age are at increased risk for depression and often do not receive needed treatment. Investigators developed Mom-Net, an on-line cognitive behavioral treatment (CBT) for depression to address the needs of low income women of childbearing age. The intervention program also includes live coaching to help the mothers engage and learn the CBT material. Mom-Net has been shown to be highly effective in reducing depressive symptoms and improving parenting behavior and child adjustment, in earlier controlled trials. In this project the investigators are examining whether access to Mom-Net can be expanded by delivering it in Head Starts (HS).

To address that broad question, the investigators will focus on two sets of scientific questions:

1. Implementation Questions: e.g., Can HS agencies deliver the program successfully; do HSs choose to sustain the program after the research project ends; what agency characteristics are associated with successful delivery of Mom-Net);
2. Effectiveness Questions: e.g., Does Mom-Net reduce maternal depression when delivered by Head Start agencies, with HS staff doing the coaching?

Head Start agencies will be randomized to deliver either Mom-Net with the usual high-intensity coaching or with a low-intensity coaching alternative. Within each agency, depressed mothers will be randomized to receive either: 1) Mom-Net program; or 2) Treatment as Usual (TAU;) referral to community mental health providers). Mothers initially assigned to the TAU condition, will have the option of receiving Mom-Net at a later date. Mothers will participate in assessments of depressive symptoms, parenting behavior, and child adjustment at Time 1 (T1; prior to randomization); and Time 2 (T2; after the intervention period) and Time 3 (T3; one year after T1).",Depression,BEHAVIORAL: Mom-Net|COMBINATION_PRODUCT: Treatment as Usual/Waitlist,Oregon Research Institute,NA,2022-12-01,2027-03-31,"Oregon Research Institute, Springfield, Oregon, 97477, United States"
NCT06284889,Behavioral Activation for the Treatment of Depression in Older Adults,NOT_YET_RECRUITING,"Depression affects between 5-15% of adults ≥ 65 years in Sweden. Depression in older adults reduces functional ability and quality of life, and increases the risk for morbidity, loneliness, and suicide. Psychological treatment is recommended as a first-line treatment for depression, which about 3% of older adults with depression in Sweden report receiving. One effective psychological treatment is behavioral activation, which reduces depressive symptoms by increasing enjoyable, meaningful and important activities, for example exercise and social activities. The research group conducted a pilot study of telephone based behavioral activation for isolated older adults with depression during the COVID-19 pandemic. The intervention consisted of four telephone calls, and the results showed a significant decrease in depressive symptoms, with maintained effects for six months.

250 individuals will participate in the study. Half of the participants will be randomised to start the intervention immediately, while the other half of the participants will be randomized to a control group receiving treatment as usual at their respective primary care center. Participants will be asked to fill in questionnaires before, after treatment. Questionnaires will also be sent 3- and 6 months after treatment to follow up on the results. Patients will be asked to wear an accelerometer for 5-7 days to record their activity level at baseline, post-intervention and after 3-months. A smaller group of participants (10-15) will be asked to participate in a more detailed interview about how they experienced the treatment.",Depression,BEHAVIORAL: Behavioural activation|OTHER: Treatment as usual (TAU),Uppsala University,NA,2024-03-04,2028-12-31,"Uppsala university, Uppsala, Uppland, 753 10, Sweden"
NCT03011619,Brief CBT for the Treatment of Depression During Inpatient Hospitalization,WITHDRAWN,"Moderately to severely depressed subjects will be randomized to the ""Control Group,"" who will receive care as usual, or the ""CBT Group,"" who will receive care as usual in addition to the manualized course of Cognitive Behavioral Therapy (CBT).",Depression,BEHAVIORAL: Usual Standard of Care|BEHAVIORAL: Cognitive Behavioral Therapy Condition (CBT),NYU Langone Health,NA,2017-04-06,2018-04-05,"New York University School of Medicine, New York, New York, 10016, United States"
NCT06411652,"The Effect of Foot Reflexology and Therapeutic Touch on Fatigue, Depression and Quality of Sexual Life in Women",COMPLETED,"This study aims to examine the effects of foot reflexology and therapeutic touch on fatigue, depression and sexual quality of life in women receiving hemodialysis treatment. Hemodialysis treatment may have negative effects on the quality of sexual life and mental health of female patients. In this context, understanding the potential healing effects of foot reflexology and therapeutic touch on sexual health and fatigue and depression in these individuals may contribute to the development of more effective support and treatment strategies.",Depression,OTHER: Reflexology|OTHER: Therapeutic Touch,Osmaniye Korkut Ata University,NA,2024-02-27,2024-09-27,"Osmaniye New State Hospital, Osmaniye, 80000, Turkey (Türkiye)"
NCT05788198,Integrated Depression Care,RECRUITING,"The Integrated DEpression CAre (IDECA) Programme is a multi-faceted intervention strategy aiming to improve guideline adherence and shared care practices for depression management in both providers and patients, as measured through a set of process and clinical outcome indicators (primary outcome measure).",Depression Mild|Depression Moderate|Depression Severe,OTHER: Integrated care,University Ghent,NA,2023-04-25,2024-09-30,"ELZ Mechelen-Katelijne, Mechelen, 2800, Belgium|ELZ Voorkempen, Zoersel, 2980, Belgium"
NCT00044174,Dyadic Interactions in Depressed and Non-Depressed Mothers and Their Infants,COMPLETED,"This study will examine 1) differences among mothers behaviors and how these behaviors influence their infants reactions, and 2) how mother-child interactions relate to children s temperament, and cognitive (thought processing) abilities, and other areas of development.

Depressed and non-depressed English-speaking mothers between 20 and 45 years of age, with an infant 4 months or younger, may be eligible for this study. Candidates will be screened with a mailed survey regarding their moods and feelings. Participants will undergo the following procedures:

* Psychiatric Interview: Subjects will participate in a 30-90 minute interview consisting of a series of standardized questions about the their behaviors and feelings. Participants whose interviews suggest a condition that may impact their mental health will be referred to the study clinician for follow-up to confirm or clarify the preliminary findings. Continued participation in the study will be determined following this.
* Home Visit: A study investigator will visit the home for 1 hour to film the mother and baby during the mother s typical daily activities. This visit will take place when the baby is about 5 months old. At the end of the visit, the mother will be given a variety of surveys to fill out at home and return at the next visit (see Lab Visit below). The survey questions deal with the mother s relationship with her partner, support from people in her life, typical behaviors of her infant, and how often she feels certain emotions. A packet of surveys will also be left for the participant s partner to complete and mail back to the investigator. The partner may or may not be the child s biological father and may or may not choose to participate in the study.
* Lab Visit: Within 1 week of the home visit, the mother and child will come to the NICHD clinic for about 2 hours. During this time, the mother will return the previous surveys and fill out another one regarding her current mood. She will then interact with her child, who will be seated in front of her. The 20-minute session will be videotaped. (There will be breaks during the session.) The mother will be instructed about how she should act (happy or sad). She and her baby will then participate in a variety of filmed situations that will induce certain emotions in the baby, such as happiness, fear, activity, frustration, and interest, in order to learn how different children react to different situations.

Participants will be contacted to continue the study when their babies are 12 months old and again when the children are 24 months old. The above procedures will be repeated and some new measures will be added for toddlers that involve activities investigating aspects of early language and social reasoning..",Depression,,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),,2002-08-20,,"National Institutes of Health Clinical Center, Bethesda, Maryland, 20892, United States"
NCT00633178,Effectiveness of Group Interpersonal Psychotherapy in Treating Women With Prenatal Depression,COMPLETED,This study will evaluate the effectiveness of group interpersonal psychotherapy for preventing postpartum depression in pregnant women with depression and for improving healthy outcomes in their babies.,Depression,BEHAVIORAL: Group interpersonal therapy (IPT)|BEHAVIORAL: Treatment as usual (TAU),New York State Psychiatric Institute,NA,2005-01,2009-03,"Columbia University Medical Center, New York, New York, 10032, United States"
NCT05850572,A Study of the Efficacy of Fecal Microbiota Transplantation(FMT) in the Treatment of Depression,NOT_YET_RECRUITING,"Patients with depression were enrolled and randomly divided into two groups, namely FMT combined with antidepressant group and Antidepressant alone group.The former received FMT capsules and antidepressants, and the latter received oral placebo and antidepressants for an 8-week intervention.Before and after intervention, venous blood samples were collected from patients for routine tests such as liver and kidney function to judge the safety of treatment. At the same time, psychological scales were used to evaluate the improvement of patients' depressive symptoms, so as to judge the efficacy and safety of FMT combined with antidepressants.",Depression,DRUG: Fecal microbiota transplantation(FMT)|OTHER: Placebo,First Affiliated Hospital Xi'an Jiaotong University,NA,2023-07,2026-12,
NCT05872607,The Quantitative Study of the Habenula Based on Multi-channel Cascaded Neural Network and the Establishment of the Prediction Model of the Curative Effect in Patients With Depression,UNKNOWN,"Depression is the second leading cause of disease burden in our country. It has serious effects on the physical and mental health of human beings, and about 30% of patients with depression are unresponsive or respond poorly to antidepressant treatment. Clinical practice is in a tough position of wanting objective measures of assessing depression. The applicant and her team have devoted many years to the basic and clinical research on habenular nucleus (Hb) accumulating a significant amount of experience from animal experiments and patients' magnetic resonance (MR) studies. These studies have demonstrated that the habenular nucleus is the key target area that is responsible for the pathophysiological changes in depression as well as its treatment. Small volumes and unsatisfactory contrast have been knotty problems in the MR imaging of Hb. In addition, time-consuming manual segmentation and lack of quantitative standards in conventional studies has impeded the advancement of Hb research. Fortunately, the development of high-resolution multi-parametric quantitative MR imaging and the extensive use of artificial intelligence (AI) technology in medical imaging can just provide powerful support for the imaging, segmentation and quantification of Hb. This project proposes to use high resolution MR anatomy of Hb combined with multimodal fusion to 1) construct a model for automatic 3D segmentation of Hb MR images based on the densely connected multichannel dilated convolutional neural networks; 2) sift out the quantitative imaging signatures related to the antidepressants' efficacy using the radiomics methodology, and in combination with clinical information, construct an individualized prediction model for treatment efficacy.

Overall, this study focuses on the translation of basic research to clinical application in the hope of providing quantifiable objective imaging markers in clinical practice, facilitating clinical decision-making and bringing about individualized precise diagnosis and treatment.",Depression,,The First Hospital of Jilin University,,2022-01-01,2024-12-31,"The First Hospital of Jilin University, Changchun, Jilin, 130000, China"
NCT07239011,Dapagliflozin in Depression,RECRUITING,"Major depressive disorder (MDD) is currently one of the leading causes of disability and suicidal death worldwide, and despite extensive research and massive improvements in mental health, the nature of MDD remains ambiguous. Moreover, about two-thirds of MDD patients fail to optimally respond to currently available standard therapies, and many of them suffer from treatment-resistant depression",Depression,DRUG: Fluoxetine|DRUG: Dapagliflozin,Tanta University,PHASE1|PHASE2,2025-11-01,2026-12-20,"Mostafa Bahaa, Damietta, New Damietta, 34518, Egypt"
NCT00781326,Effectiveness of Nimodipine Plus Antidepressant Medication in Treating Vascular Depression,TERMINATED,This study will examine whether combined use of an antidepressant medication and the medication nimodipine reduces risk of depression relapse in patients with vascular depression.,Depression,DRUG: Nimodipine|DRUG: Placebo,University of Pittsburgh,PHASE4,2008-08,2009-02,"University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15213, United States"
NCT00178035,Sleep Deprivation Plus Paroxetine for Treating Major Depression in Elderly Individuals,COMPLETED,This study will determine the effectiveness of total sleep deprivation (TSD) for one night plus paroxetine versus either TSD plus placebo or paroxetine alone in inducing rapid symptom resolution of major depression in the elderly.,Depression,DRUG: paroxetine|BEHAVIORAL: One night of Total Sleep Deprivation,University of Pittsburgh,PHASE4,1999-12,2003-08,"University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, 15213, United States"
NCT01948167,Bending Adolescent Depression Trajectories Through Personalized Prevention,COMPLETED,"Investigators will combine risk factor research and evidence-based prevention programs, to advance knowledge on personalized approaches to prevention that may be able to better ""bend trajectories"" of depression that surge throughout adolescence.",Depression,BEHAVIORAL: Interpersonal Psychotherapy- Adolescent Skills Training|BEHAVIORAL: Coping with Stress,Children's Hospital of Philadelphia,NA,2013-09,2019-08,"University of Denver, Denver, Colorado, 80208, United States|University of Illinois Urbana Champaign, Champaign, Illinois, 61820, United States|Rutgers University, Piscataway, New Jersey, 08854, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19146, United States"
NCT05456035,CBT Enhanced With Social Cognitive Training vs. CBT Only With Depressed Youth,RECRUITING,"Depression in youth is a serious public health concern for which more personalized treatments are needed. This randomized controlled trial will test the effect of an intervention aimed at enhancing social cognitive capacities (e.g., ability to take another's perspective), thereby making treatment of depression in youth more efficient and effective. Participants in the R33 (N=82) will be youth between ages 13- through 17-years-old currently experiencing depression. Youth will be randomized to either an enhanced CBT intervention that teaches social cognitive skills, particularly social perspective taking and theory of mind (CBTSCT) as compared to CBT only. The primary target is improvement in both social cognitive skills and depressive symptoms at post-treatment and at a 6-month follow-up.",Depression,BEHAVIORAL: Cognitive behavioral therapy plus social cognitive training (CBTSCT),Vanderbilt University,NA,2022-10-10,2026-08,"Judy Garber, Nashville, Tennessee, 37203-5721, United States"
NCT05123794,Shortened Depression Assessment Study,COMPLETED,"Participants will be asked to fill out an online questionnaire about their demographics information and all 42 items from the Depression Anxiety Stress Scale (DASS-42). A series of machine learning techniques will be applied to the dataset to develop a shortened assessment using the most important demographics and DASS-42 items from the original questionnaire, to predict depression levels indicated by DASS-42.",Depression,,University of Toronto,,2019-09-01,2021-09-01,"University of Toronto, Toronto, Ontario, Canada"
NCT00436150,Interpersonal Therapy-Based Treatment to Prevent Postpartum Depression in Adolescent Mothers,COMPLETED,This study will aim to prevent postpartum depression in pregnant teenagers through an interpersonal therapy-based program.,Depression,BEHAVIORAL: Interpersonal therapy-based treatment|BEHAVIORAL: Standard care,Women and Infants Hospital of Rhode Island,NA,2007-02,2009-09,"Women & Infants Hospital of Rhode Island, Providence, Rhode Island, 02905, United States"
NCT04858737,Personalized Prevention of Depression in the Workplace (e-pD-Work),UNKNOWN,"The main goal is to design, develop and evaluate a personalized intervention to prevent depression in the workplace, based on Information and Communication Technologies (ICTs), predictive risk algorithms and decision support systems (DSS) for employed workers. The specific goals are: 1) to design and develop a DSS, called e-predictD-Work-DSS to elaborate personalized plans to prevent depression and its monitoring in the employed working population; 2) to design and develop an ICT solution that integrates the DSS on the web, a mobile application (App), the predictD risk algorithm, different intervention modules (including a work stress management module) and a monitoring-feedback system; 3) to evaluate the usability, adherence, acceptability and satisfaction of employed working population with the e-pD-Work intervention; 4) to evaluate the effectiveness of the e-pD-Work intervention to reduce the incidence of major depression, depression and anxiety symptoms, the probability of major depression next year and to improve quality of life; 5) to evaluate the cost-effectiveness and cost-utility of the e-pD-Work intervention to prevent depression.

Methods: This a randomized, double-blind, controlled trial with two parallel arms (e-pD-Work vs active m-Health control) and 12 months follow-up. A total of 3,160 depression-free workers, aged between 18 and 55 years old will be recruited in Spain and randomly assigned to one of the two groups in a 1:1 ratio considering a stratification of age (18-29, 30-39, 40-49, 50-55 years) and sex similar to the Spanish population. Participants, interviewers and statisticians will be blinded to participants' allocation. The e-pD-Work intervention is self-guided, has a biopsychosocial approach and is multi-component (9 modules: physical exercise, improve sleep, expand relationships, solve problems, improve communication, assertiveness, decision making, manage thoughts and reduce work stress). The e-pD-Work intervention will be implemented in the smartphone of the workers and pivot on an already validated risk predictive algorithm and a DSS that helps workers to develop their own personalized depression prevention plans. Primary outcome will be the rate of major depression measured by CIDI. As secondary outcomes: depressive and anxiety symptomatology measured by PHQ-9 and GAD-7 respectively, the risk probability of depression measured by the predictD risk algorithm, quality of life measured by SF-12 and EuroQol, and cost-effectiveness and cost-utility.",Depression,BEHAVIORAL: e-predictD-Work intervention|OTHER: Brief psychoeducational messages,The Mediterranean Institute for the Advance of Biotechnology and Health Research,NA,2021-06-01,2024-12,"Juan Bellon Saameño, Málaga, Spain"
NCT02913898,Dynamic Learning in Depression,COMPLETED,"This study will assess learning bias (the tendency to learn more from negative relative to positive outcomes) at baseline in 3 groups of participants (currently depressed, previously depressed and never depressed). It will then try to modify this bias using a simple computerised training task completed at home daily for 2 weeks. Outcome measures include symptoms of depression, cognitive measures (i.e. accuracy and reaction time during completion of tasks), pupillometry measures and salivary cortisol.",Depression,BEHAVIORAL: IBLT|BEHAVIORAL: IBLT control,University of Oxford,NA,2016-11-01,2020-06-03,"Dept of Psychiatry, University of Oxford, Oxford, Oxfordshire, OX3 7JX, United Kingdom"
NCT00005914,Genetics of Recurrent Early-Onset Depression,COMPLETED,"This nationwide study will create a DNA collection to permit qualified scientists to search for depression-related genes.

More than 750 families with at least two siblings who have experienced major depression are needed for the study. Participants will be interviewed about psychiatric and family history, and will be asked to provide a small blood specimen. The identification of predisposing genes can lead to greater understanding of the brain mechanisms involved in severe depression which can in turn lead to the discovery of new treatments.

A Certificate of Confidentiality from the federal government ensures that all information will be strictly confidential. Blood specimens are identified only by code number (not by name).

Reimbursement is provided.",Depression,,Stanford University,,1999-10,2005-10,"Rush Presbyterian - Saint Luke's Med Ctr, Chicago, Illinois, 60612, United States|Univ of Iowa Hosp and Clinic, Iowa City, Iowa, 52242, United States|Johns Hopkins University, Baltimore, Maryland, 21287-7381, United States|New York State Psychiatric Institute / Columbia Univ, New York, New York, 10032, United States|Univ of Pennsylvania, Philadelphia, Pennsylvania, 19104-2648, United States|Univ of Pittsburgh / Western Psychiatric Inst and Clinic, Pittsburgh, Pennsylvania, 15213, United States"
NCT05344326,Cognitive Analytic-Informed Guided Self-help for Depression,UNKNOWN,Cognitive analytic therapy (CAT) is used within mental health services as a treatment for a range of mental health difficulties. Recent research has adapted CAT to be used as guided self-help for anxiety within Increasing Access to Psychological Therapies (IAPT). IAPT is a mental health service. Guided self help-CAT (CAT-GSH) is delivered by mental health professionals called Psychological Wellbeing Practitioners (PWPs). This current study aims to develop and pilot a CAT-GSH manual for depression for use in the same context and practitioners. Stage one uses past research and consultation meetings to help develop the treatment. Stage two will use different approaches to explore the acceptability and outcomes of the intervention.,Depression,OTHER: Cognitive Analytic Therapy - Guided Self Help (CAT-GSH),University of Sheffield,NA,2022-11-07,2024-05-31,"Barnsley IAPT Service, Barnsley, United Kingdom"
NCT04805879,The Safety and Efficacy of Fecal Microbiota Transplantation in a Population With Major Depressive Disorder,UNKNOWN,"The primary goals of this proof of concept clinical trial are to determine the effectiveness, safety and tolerability of oral FMT in adults with Treatment Resistant Depression (TRD).",Depression|Treatment Resistant Depression,BIOLOGICAL: FMT oral Capsules|BIOLOGICAL: Placebo Capsules,University of Calgary,PHASE2|PHASE3,2021-03-04,2024-12-04,"Cumming School of Medicine, University of Calgary, Calgary, Alberta, T2N 4 Z6, Canada"
